"group_var","battery_total_cost","charger_total_cost","group_var_name","operator_name"
"$100k/charger",15576.8888888889,2754.91851851851,"Charger Cost","mean"
"$120k/charger",15576.8888888889,2781.39851851851,"Charger Cost","mean"
"$140k/charger",15576.8888888889,2807.87851851851,"Charger Cost","mean"
"$160k/charger",15576.8888888889,2834.35851851851,"Charger Cost","mean"
"$180k/charger",15576.8888888889,2860.83851851851,"Charger Cost","mean"
"$20k/charger",15576.8888888889,2648.99851851851,"Charger Cost","mean"
"$40k/charger",15576.8888888889,2675.47851851851,"Charger Cost","mean"
"$60k/charger",15576.8888888889,2701.95851851851,"Charger Cost","mean"
"$80k/charger",15576.8888888889,2728.43851851851,"Charger Cost","mean"
"$100k/charger",5859,1117.8,"Charger Cost","median"
"$120k/charger",5859,1160.34,"Charger Cost","median"
"$140k/charger",5859,1195,"Charger Cost","median"
"$160k/charger",5859,1230.04,"Charger Cost","median"
"$180k/charger",5859,1272.7,"Charger Cost","median"
"$20k/charger",5859,1050.4,"Charger Cost","median"
"$40k/charger",5859,1062.6,"Charger Cost","median"
"$60k/charger",5859,1074.84,"Charger Cost","median"
"$80k/charger",5859,1095.535,"Charger Cost","median"
"$30/mile",9346.13333333331,1705.91111111111,"Battery Cost","mean"
"$35/mile",10903.8222222223,1968.16296296297,"Battery Cost","mean"
"$40/mile",12461.5111111111,2230.41481481481,"Battery Cost","mean"
"$45/mile",14019.2,2492.66666666667,"Battery Cost","mean"
"$50/mile",15576.8888888889,2754.91851851851,"Battery Cost","mean"
"$55/mile",17134.5777777777,3017.17037037038,"Battery Cost","mean"
"$60/mile",18692.2666666666,3279.42222222222,"Battery Cost","mean"
"$65/mile",20249.9555555555,3541.67407407407,"Battery Cost","mean"
"$70/mile",21807.6444444445,3803.92592592593,"Battery Cost","mean"
"$30/mile",3696,792,"Battery Cost","median"
"$35/mile",4312,892.98,"Battery Cost","median"
"$40/mile",4928,993.6,"Battery Cost","median"
"$45/mile",5544,1096,"Battery Cost","median"
"$50/mile",6160,1203.84,"Battery Cost","median"
"$55/mile",6776,1309.5,"Battery Cost","median"
"$60/mile",7392,1406.02,"Battery Cost","median"
"$65/mile",8008,1514.2,"Battery Cost","median"
"$70/mile",8624,1614.14,"Battery Cost","median"
"10",12980.7407407408,2295.76543209877,"Chargers per Site","mean"
"12",15576.8888888889,2754.91851851851,"Chargers per Site","mean"
"14",18173.037037037,3214.07160493827,"Chargers per Site","mean"
"16",20769.1851851851,3673.22469135802,"Chargers per Site","mean"
"18",23365.3333333333,4132.37777777778,"Chargers per Site","mean"
"20",25961.4814814815,4591.53086419754,"Chargers per Site","mean"
"4",5192.29629629629,918.306172839504,"Chargers per Site","mean"
"6",7788.44444444443,1377.45925925926,"Chargers per Site","mean"
"8",10384.5925925926,1836.61234567901,"Chargers per Site","mean"
"10",5796,1139.8,"Chargers per Site","median"
"12",6955.2,1367.76,"Chargers per Site","median"
"14",8114.4,1595.72,"Chargers per Site","median"
"16",9273.6,1823.68,"Chargers per Site","median"
"18",10432.8,2051.64,"Chargers per Site","median"
"20",11592,2279.6,"Chargers per Site","median"
"4",2318.4,455.92,"Chargers per Site","median"
"6",3477.6,683.88,"Chargers per Site","median"
"8",4636.8,911.84,"Chargers per Site","median"
"200",7788.44444444443,1443.65925925926,"Vehicles per Charger","mean"
"250",9735.55555555556,1771.47407407407,"Vehicles per Charger","mean"
"300",11682.6666666666,2099.28888888889,"Vehicles per Charger","mean"
"350",13629.7777777777,2427.1037037037,"Vehicles per Charger","mean"
"400",15576.8888888889,2754.91851851851,"Vehicles per Charger","mean"
"450",17524,3082.73333333333,"Vehicles per Charger","mean"
"500",19471.1111111111,3410.54814814815,"Vehicles per Charger","mean"
"550",21418.2222222223,3738.36296296297,"Vehicles per Charger","mean"
"600",23365.3333333333,4066.17777777778,"Vehicles per Charger","mean"
"200",3187.8,714.92,"Vehicles per Charger","median"
"250",3984.75,845.91,"Vehicles per Charger","median"
"300",4781.7,982.56,"Vehicles per Charger","median"
"350",5578.65,1115.4,"Vehicles per Charger","median"
"400",6375.6,1246.56,"Vehicles per Charger","median"
"450",7172.55,1380,"Vehicles per Charger","median"
"500",7969.5,1520,"Vehicles per Charger","median"
"550",8766.45,1657.56,"Vehicles per Charger","median"
"600",9563.4,1794.24,"Vehicles per Charger","median"
"100 miles",21216,177.2,"Range","mean"
"150 miles",16448,1532.4,"Range","mean"
"200 miles",13322.6666666666,2353.2,"Range","mean"
"250 miles",12256,3202.53333333333,"Range","mean"
"300 miles",10016,3498.26666666666,"Range","mean"
"350 miles",9920,4251.86666666666,"Range","mean"
"400 miles",9141.33333333331,4593.73333333334,"Range","mean"
"450 miles",8096,4855.86666666666,"Range","mean"
"50 miles",39776,329.2,"Range","mean"
"100 miles",8712,94.64,"Range","median"
"150 miles",7260,981.65,"Range","median"
"200 miles",5674.5,1505.88,"Range","median"
"250 miles",5180,2099.34,"Range","median"
"300 miles",4818,2345.44,"Range","median"
"350 miles",4851,2824.36,"Range","median"
"400 miles",4088,2858.68,"Range","median"
"450 miles",4185.6,3155.46,"Range","median"
"50 miles",15912,174,"Range","median"
"100 miles",0,11.3333333333333,"Distance","mean"
"200 miles",525.333333333333,336.933333333333,"Distance","mean"
"300 miles",1904,919.6,"Distance","mean"
"400 miles",4648,1750.8,"Distance","mean"
"500 miles",9482.66666666666,2859.86666666667,"Distance","mean"
"600 miles",15000,3350,"Distance","mean"
"700 miles",23824,4145.2,"Distance","mean"
"800 miles",35634.6666666666,5193.2,"Distance","mean"
"900 miles",49173.3333333333,6227.33333333334,"Distance","mean"
"100 miles",0,9.36,"Distance","median"
"200 miles",417.6,280.84,"Distance","median"
"300 miles",1443,707,"Distance","median"
"400 miles",3499.2,1258.22,"Distance","median"
"500 miles",7232,1966.2,"Distance","median"
"600 miles",10912.5,2359.28,"Distance","median"
"700 miles",17010,3106.32,"Distance","median"
"800 miles",25032,3923.85,"Distance","median"
"900 miles",34070.4,4630.32,"Distance","median"
